question,correct,false
What are the four parts of the marketing mix?,Product Price Place Promotion,"['Product Price Production Promotion', 'People Product Price Promotion', 'Product Price Place Publicity']"
"In the marketing mix, what is product?",good or service offered to customers,"['A specific price point for a good or service.', 'The process of promoting and selling a good or service.', 'The place where a good or service is sold.']"
What is the purpose of design and development?,To test ideas before greater investment.,"['To create aesthetically pleasing products.', 'To increase market share.', 'To improve manufacturing efficiency.']"
What is Concept Testing?,Survey target market on your ideas,"['Assessing the feasibility of a new product or service.', 'Gathering data on customer preferences.', ""Testing the marketing campaign's effectiveness."", 'Analyzing competitor strategies.']"
What is Test Marketing?,Launch at a small scale and adjust for upscaling,"['Launching a product nationwide to assess consumer response.', 'Conducting focus groups to gather feedback on product features.', 'Introducing a product to a limited geographic area to gauge market reaction before a full launch.', 'Analyzing competitor strategies to inform product development.']"
What is Crowdsourcing?,Utilising customers to design products,"['Utilizing customers to test products', 'Utilizing customers to design products', 'Utilizing employees to design products', 'Utilizing employees to test products']"
What is a disadvantage of Test Marketing?,Reveals product to competitors,"['High cost', 'Time-consuming', 'All of the above']"
What are the three considerations for Packaging?,Standing out simple to use necessary info,"['Attractiveness cost-effectiveness durability', 'Size weight material', 'Branding distribution storage']"
What is product differentiation?,Ensure a product stands out along the aisle,"['Creating a unique selling proposition.', 'Setting a competitive price point.', 'Focusing on mass production.', 'Utilizing economies of scale.']"
How can a company communicate its Value Proposition?,Packaging Pricing and Ads,"['Packaging', 'Pricing', 'Advertising', 'All of the above']"
What is a product line?,Similar products sold by a firm,"['A single product offered by a firm.', 'All products offered by a firm.', 'A group of unrelated products sold by a firm.']"
What is a Product Mix?,Different products sold by a firm to hit different markets,"['The total revenue generated from all products sold.', 'The number of variations of a single product offered by a firm.', 'The combination of products offered at a single price point.']"
What is the relationship between price and image?,Higher prices could be seen as prestigious while lower prices appear affordable,"['Higher prices always indicate higher quality.', 'Price and image are unrelated.', 'Lower prices always mean lower quality.']"
What is the Cost Plus strategy?,Price is based on costs,"['Price is based on competitor pricing', 'Price is based on perceived value', 'Price is based on market demand']"
What is Competitive Pricing?,Base prices off of competitiors,"['Setting prices higher than all competitors to project an image of exclusivity.', 'Ignoring competitor prices and focusing solely on internal cost analysis.', 'Base prices off of competitors.', 'Setting prices significantly lower than competitors to maximize market share regardless of profitability.']"
What is Value Based?,Base price off of what customers are willing to pay,"['Cost of production plus a profit margin', 'The lowest price a competitor offers', 'A fixed price regardless of demand']"
What is Price Skimming?,Set a high price to profit when competition is low,"['Setting a low price to quickly gain market share.', 'Setting a high price to profit when competition is low.', 'Matching competitor prices.', 'Setting a price based on production costs.']"
What is Penetration Pricing?,Set a low price to enter a competitive market,"['Setting a high price to recover development costs quickly.', 'Setting a price equal to competitors' prices.', 'Setting a price based on the perceived value of the product.']"
What are the various pricing strategies?,cost plus competitive pricing value-based price-skimming penetration pricing,"['Cost-plus pricing competitive pricing value-based pricing price skimming penetration pricing', 'Cost-plus pricing competitive pricing value-based pricing price skimming premium pricing', 'Markup pricing competitive pricing value-based pricing price penetration price skimming', 'Cost-plus pricing competitive bidding value pricing price skimming penetration pricing']"
What is a break-even analysis?,Evaluate when sales cover expenses,"['A method to determine the point where revenue equals expenses.', 'A forecasting tool to predict future sales.', 'A technique to analyze the profitability of individual products.', 'A strategy to minimize production costs.']"
What are fixed costs?,Costs that do not change when product changes,"['Costs that remain constant regardless of the level of output.', 'Costs that vary directly with the level of output.', 'Costs associated with raw materials.', 'Costs related to marketing and advertising.']"
What are variable costs?,Costs that change based on production,"['Costs that remain constant regardless of production volume.', 'Costs associated with fixed assets.', 'Costs related to administrative overhead.']"
What is the importance of Place?,Determine product distribution and opportunities,"['Determines product pricing strategies.', 'Influences consumer perception and brand image.', 'Impacts the overall marketing budget.']"
What is a Distribution Channel?,How products move from producer to consumer,"['The price a product is sold at.', 'The marketing strategy used to promote a product.', 'The location where a product is manufactured.']"
What are the role of Intermediaries?,Distribute products,"['To facilitate transactions between buyers and sellers.', 'To provide specialized services such as marketing and logistics.', 'To reduce search costs and transaction costs.', 'All of the above.']"
What are the three types of intermediaries?,retailers wholesalers agents,"['Manufacturers distributors consumers', 'Producers suppliers customers', 'Importers exporters brokers']"
What do retailers do?,sell to customers,"['Manufacture products', 'Develop raw materials', 'Transport goods internationally']"
What do wholesalers do?,Buy in bulk and sell to other firms,"['Buy in bulk and sell to retailers.', 'Manufacture goods and sell to consumers.', 'Provide services directly to consumers.', 'Buy individual items and sell to consumers.']"
What do agents do?,connect buyer and seller,"['Negotiate prices', 'Provide market analysis', 'Manage properties']"
What are the benefits of intermediaries?,efficient transport promotion or customer support,"['Efficient transport', 'Promotion', 'Customer support', 'All of the above']"
What are the three intensities of distribution?,intensive selective exclusive,"['Extensive Selective Inclusive', 'Intensive Selective Inclusive', 'Extensive Intensive Exclusive']"
What is intensive distribution?,Sell in as many retailers as possible,"['Selling a product through only one retailer in a specific geographical area.', 'Selling a product through a limited number of carefully selected retailers.', 'Selling a product in as many retailers as possible.', 'Selling a product exclusively online.']"
What is Selective Distribution?,Sell in specific outlets to cater to target markets or have good service,"['Selling a product through all available outlets.', 'Selling in specific outlets to cater to target markets or have good service.', 'Selling a product only online.', 'Selling a product only through wholesalers.']"
What is Exclusive Distribution?,Sell in very few outlets,"['Sell in many outlets', 'Sell directly to consumers', 'Sell only online']"
What is the purpose of Promotion?,To inform interest and interact with customers,"['To increase production efficiency.', 'To reduce manufacturing costs.', 'To improve employee morale.']"
What is Buzz Marketing?,Consumers market via word of mouth,"['A type of marketing that focuses on creating a viral sensation online.', 'A traditional marketing strategy using print and broadcast media.', 'Consumers marketing products via word of mouth.', 'A form of guerilla marketing involving stunts and unexpected events.']"
What the methods of the promotion mix?,Advertising Public Relations Sales Promotion Direct Marketing Personal Selling,"['Advertising Publicity Sponsorship Direct Mail Personal Selling', 'Marketing Advertising Sales Promotion Distribution', 'Branding Advertising Public Relations Sales Customer Service']"
What does Advertising involve?,Communicate via traditional media,"['Communicating a message to a target audience.', 'Creating and distributing marketing materials.', 'Building brand awareness and loyalty.', 'All of the above.']"
What does Public Relations involve?,Service the community to build a positive image,"['Building relationships with stakeholders.', 'Managing crises and negative publicity.', 'Promoting products and services.', 'All of the above.']"
What does Sales Promotion involve?,loyalty programs or deals to motivate customers to buy,"['Advertising campaigns in print and broadcast media', 'Public relations and media outreach', 'Long-term strategic planning and market research']"
What does Direct Marketing involve?,Contact consumers through email phone etc.,"['Using mass media advertising campaigns.', 'Contacting consumers through email phone etc.', 'Relying solely on social media marketing.', 'Focusing exclusively on print advertising.']"
What is Personal Selling?,Face to face selling,"['Advertising in magazines', 'Telemarketing', 'Email marketing']"
What is Relationship Marketing?,Develop loyal customers,"['Developing short-term transactional relationships.', 'Focusing solely on product features and benefits.', 'Creating a large customer base quickly.', 'Developing loyal customers.']"
What is Customer Relationship Management (CRM)?,Gather data on customers to identify loyal customers or assess effectiveness of marketing,"['A software system for managing marketing campaigns.', 'A strategy for improving customer service interactions.', 'A process for gathering data on customers to identify loyal customers or assess the effectiveness of marketing.', 'A method for tracking inventory and supply chain logistics.', 'A technique for analyzing competitor strategies.']"
What is a Brand?,A Name Logo or Design distinguishing a company or product,"['A legally protected trademark', 'A marketing campaign', ""A company's mission statement"", 'The price point of a product']"
What are the characteristics of a strong brand?,clear message product credibility emotional connection motivate buyer,"['High price extensive advertising celebrity endorsements global reach', 'Unique packaging wide distribution  long history  family-owned business', 'Consistent quality  strong customer service  innovation  market dominance']"
What is Brand Equity?,estimated value of a brand,"['The legal protection afforded a brand name.', ""The brand's market share."", ""The brand's marketing budget.""]"
How is Brand Equity measured?,Brand influence and loyalty,"['Financial performance indicators', 'Brand awareness and recall', 'Market share and distribution reach']"
What are the four stages of the product life cycle?,introduction growth maturity decline,"['Development Launch Expansion Decline', 'Idea Design Production Sale', 'Research Development Marketing Sales']"
What might occur during the introduction phase?,slow sales pricing might be low or high depending on strategy,"['maintain profits via promotion product changes intense distribution', 'competition arises prices based off of competition']"
What might occur during the growth phase?,rising sales competition arises prices based off of competition,"['pricing might be low or high depending on strategy', 'maintain profits via promotion product changes intense distribution',]"
What might occur during the maturity phase?,peak sales maintain profits via promotion product changes intense distribution,"['slow sales', 'competition arises prices based off of competition']"
What might occur during the decline phase?,Falling profits as customers find substitutes adjust prices,"['Increased market share', 'Rapid expansion of the product line', 'Introduction of innovative features', 'Significant rise in customer demand']"
What is the advantage of a product mix regarding product life cycles?,Diversify life cycles,"['Increased production efficiency', 'Lower marketing costs', 'Simplified inventory management', 'Enhanced brand recognition']"
