question,correct,false
Which of the following is NOT a characteristic of a corporation?,Owned by partners,"['A separate legal entity', 'Limited liability', 'Formed by an Article of Incorporation']"
Which of the following is NOT an advantage for a partnership?,Infinite Life,"['Easy and cheap to start', 'Less regulation', 'split costs and work']"
What percent of small business last more than 5 years?,50%,"['60%', '70%', '80%']"
"Business that are easier to start have less competition, resulting in higher growth potential and lower failure rates.",False,['True']
Which of the following is NOT a cause for small business failures?,Loaning money to fund the business,"['Spending on unnecessary items', 'Poor records allowing trends to go unnoticed', 'Forgetting extra costs like taxes and insurance']"
How can you ensure you business does not fail?,Understanding customers and industry to inform decisions,"['Expand quickly', 'Setting the price high to increase revenue.', 'Borrow lots of money to increase your buffer money.']"
"Due to globalization, consumers gain greater access to products & services",True,['False']
What do employees gain from globalization?,Access to more markets and suppliers.,"['Stricter labour laws', 'Setting global standard career paths', 'Lower wages']"
How does globalization affect owners?,Allow outsourcing of work,"['Higher operating costs', 'Increasing tariffs on goods', 'Reduced domestic market share']"
"When a country imports more than it exports, it is considered to have:",deficit,"['surplus', 'trade balance', 'comparative advantage']"
Free Trade is trading without any trade barriers.,True,['False']
"New Zealand can easily produce wool but does not have ideal conditions to grow grapes. According to the theory of comparative advantage, New Zealand should:",Produce & export wool while importing grapes,"['Build greenhouses to grow grapes', 'Do nothing', 'Import wool and grapes']"
What is a disadvantage of Free Trade?,"Less competitive domestic companies would suffer, causing job loss","['Access to more products', 'Lower prices for imported products', 'Economic development in developing countries']"
Which of the following is a trade agreement?,NAFTA,"['Velocity', 'The Paris Agreement', 'United Nations Charter']"
Which of the following was NOT an effect of CETA?,Harmonization of product standards in Canada and the EU,"['European products were cheaper', 'More EU competitors in Canada', 'EU standards (e.g. Food Safety Barriers) prevented access to EU markets']"
Trade Protectionism always results in a Trade Surplus,False,['True']
The EU's food safety standards are an example of a,Non-Tariff Barrier,"['Embargo', 'Import Quota', 'Tariffs']"
NATO countries imposed trade sanctions on Russia in Feburary 2022. This is an example of a,Embargo,"['Import Quota', 'Tariffs', 'Non-Tariff Barrier']"
The US limits the amount of lumber companies can import from Canada. This is an example of a,Import Quota,"['Tariffs', 'Non-Tariff Barrier', 'Embargo']"
The US and Canada recently set a 100% tax on Chinese EV imports. This is an example of a,Tariffs,"['Import Quota', 'Non-Tariff Barrier', 'Embargo']"
Which of the following is a negative effect of globalization?,Vulnerable supply chains,"['More technological innovation', 'Greater access to international markets', 'Promotes fair trade']"
BRICS is composed of,"Brazil Russia India China South Africa","['Britain Romania Indonesia Chile Saudi Arabia', 'Bangladesh Russia Iran Colombia Sweden', 'Bolivia Rwanda Iraq Canada Singapore']"
Which of the following is NOT a characteristic of exporting?,Domestic supply chain management,"['Allows for direct delivery to customers', 'Can be via intermediary sellers', 'Small businesses can easily adapt to an export model']"
What is the role of the Canada Border Services?,Monitor imports and enforce laws,"['Defend the border against foreign invaders', 'Providing financial assistance to exporters', 'Managing Canadian trade tariffs unilaterally']"
What is an example of licensing?,Toyota allows other companies to produce vehicles using Toyota technology,"['Apple operates its own stores to sell its own products directly', 'Amazon sells products through its online store', 'Tesla produces all of its own parts.']"
What is NOT a responsibility of the Franchisor?,Operating a franchise location,"['Provide training for franchisee', 'Supply franchise locations with its supply chain', 'Provide managers and ensure quality of franchisee']"
What is a responsibility of the Franchisee?,Paying franchise fees,"['Creating new brand products', 'Set brand vision and mission statement', 'Setting franchise standards']"
What is an advantage of outsourcing?,Production facilities do not need to be built,"['Control over product quality', 'Greater access to talent', 'Higher operational costs']"
What is the difference between a joint venture and a strategic alliance?,"In a strategic alliance costs profits and management are not shared while they are shared in a joint venture","['In a Joint Venture costs profits and management are not shared while they are shared in a Strategic Alliance.', 'A Joint Venture is between 2 companies while a Strategic Alliance involves 3 or more companies', 'There is no difference.']"
Shell and Microsoft are cooperating by sharing information to transform the energy sector. This is an example of,Strategic Alliance,"['Joint Venture', 'Partnership', 'Franchising']"
General Motors operates factories in Oshawa. This is an example of,Foreign Direct Investment,"['Franchising', 'Outsourcing', 'Licensing']"
Which of the following Global Market Strategies is the riskiest?,Foreign Direct Investment,"['Exporting', 'Outsourcing', 'Licensing']"
Which of the following Global Market Strategies is the least riskiest?,Exporting,"['Joint Venture', 'Strategic Alliance', 'Contract Manufacturing']"
Which of the following is NOT a disadvantage of Foreign Direct Investment?,Foreign Direct Investments may create a foreign 'Child Company',"[""FDI must follow the laws of both the parent company's country and the foreign subsidary's country"", 'Assets might be lost in an unstable country', 'Dependent on foreign investors']"
What does PEST stand for?,"Political, Economical, Social, Technology","['Publicity Environmental Security Trade', 'Population Ethical Sustainability Transport', 'Production Educational Strategic Trade']"
Which of the following is a potential consideration for the political environment?,government legislation to protect customers (e.g. CASL),"['Inflation rate', 'Technological advancements', 'Changes in consumer attitudes']"
Which of the following is a responsibility of the Federal Government?,Immigration,"['Employment Laws', 'Public Transportation', 'Education']"
What is the purpose of deregulation?,Increased competition in the market,"['Protect customers', 'Reduce strain on government', 'Increase government popularity']"
Which of the following is NOT a responsiblity of the provincial government?,Operating national banks,"['Regulate trade and commerce', 'Highway', 'Health Care']"
What is the difference between monetary policy and fiscal policy,Fiscal policy is how much the government taxes and spends while monetary policy is how the government uses interest rate to control inflation,"['No difference', 'Monetary policy is how much the government taxes and spends while fiscal policy is how the government uses interest rate to control inflation', 'Fiscal policy is controlled by the government bank while monetary policy is not.']"
How do trade relations affect a company?,Incentivize trading with certain nations and discourage trading with others,"['Influence company structure and hierarchies', 'Limited impact on companies in developed nations', 'Increased consumer demand']"
What percent of corporate earnings are taxed by the government?,26-31%,"['36-41%', '16-21%', '6-11%']"
What are the affect of taxes?,Incentivize consumers to pay certain items and discourage buying other items,"['Increased consumer spending', 'No effect', 'Increased demand for taxed goods']"
How do businesses benefit from reduced taxes?,"Corporations have more disposable income to spend on innovation, direct investments, and employees","['Increased operational costs due to higher wages for employees.', 'A decrease in consumer demand for goods and services.', 'Reduced ability to attract foreign investment due to a lack of tax incentives.']"
Microeconomics does NOT investigate the influence of,Government Trade Policies,"['Individuals and Businesses', 'Supply & Demand', 'Allocation of Scarce Resources']"
Macroeconomics investigates the influence of,"Interest Rates, Employment Rates, and Government Trade Policies","['Individuals & Businesses Allocation of Scrace Resources and Supply & Demand', 'Government regulations on specific industries', 'Strategies of Multinational Corporations Major Marketing Strategies Market Trends']"
What is NOT an effect of low economic growth and high employment?,Increased spending power of consumers,"['Less consumer spending', 'Reduced sales and profits', 'job layoffs and cost cutting']"
Which of the following is NOT a phase in a business growth cycle?,Apex,"['Trough', 'Recovery', 'Expansion']"
What is a characteristic of the economy during a Contraction?,Lower demands and profits,"['GDP at the highest point', 'Companies boom and jobs are created', 'Economy rises and increased demand']"
What is a recession?,Two or more quarters of economic contraction,"['Lower demand and profits', 'GDP is at the lowest', 'A depression']"
How is the Consumer Price Index calculated?,By getting an average of commonly purchased items,"[""GDP divided by the country's population"", 'It is always 2%', 'By comparing wages with rent']"
What is the role of the Bank of Canada?,To stimulate the economy and control inflation by changing interest rates,"['To fund start-up companies', 'To provide loans to clients', 'To provide social welfare to less fortunate citizens']"
Who sets Canada's Benchmark Interest Rate?,Bank of Canada,"['Provincial Government', 'Toronto Dominion Bank', 'Federal Government']"
What is the Bank of Canada's target inflation rate?,2%,"['0%', '1%', '3%']"
How often does the Interest Rate change each year>,8,"['4', '2', '1']"
What is GDP (Gross Domestic Product)?,Value of goods & services exchanged in a country in one year,"['Income of all residents in a country', 'Purchasing power of consumers', 'Total market value of all goods and services produced in a country in one year']"
What is the effect of low interest rates?,high inflation & high spending,"['low inflation & low spending', 'people saving more money', 'corporations stop loaning money']"
The Boomer generation accounts for 30% of Canadians. What is the significance of this generation on the market?,Wealthy and spend a lot on entertainment and travel,"['Save a lot so has limited impact', 'Actively trade, creating a liquid market', 'Low taxes increasing disposable income for all']"
Which of the following is NOT a consideration for the social environment?,Credit score,"['Education', 'Income', 'Ethnicity']"
Triple Bottom Line reports on,People Planet and Profit,"['Personnel Production Policy', 'Profit Loss Investment', 'People Production Pricing']"
Which of the following is NOT a consideration when using digital technology?,Historical financial performance of the company,"['Ethics of using digital technology especially when storing data', 'Changes to the workplace', 'Systems to maintain digital technology']"
Which of the following is a disadvantage regarding customers when it comes to digital technology?,Data tracking can alienate customers,"['Social media & the internet can be used for marketing', 'Apps can remind customers to complete purchases', 'Personalized ads incentivize customers to buy more']"
How has digitalization affected digital stores?,Online stores set up physical stores for presence,"['Physical stores offer online options', 'Physical stores are no longer necessary', 'Increased supply chain costs']"
Which of the following is NOT one of Porter's Five Forces?,Technology,"['Current Competitors', 'Substitutes', 'Consumer Bargaining Power']"
Which of the following is NOT an appropiate evaluation when considering current competitors?,Having less suppliers allows suppliers to demand higher fees,"['What makes your company distinct from your competitors', 'Volume of Competition', 'Difficulty of unseating entrenched competitors']"
Which of the following is a barrier to entry for businesses?,Overcoming brand loyalty,"['Low initial investment requirements', 'Abundant access to distribution channels', 'High consumer demand for a product']"
Scale Economy states that the fixed cost per unit for products decreases as the volume of products produced increases,True,['False']
Only monetary factors prevent customers from switching products,False,['True']
SWOT stands for,Strengths Weaknesses Opportunities Threats,"['Sales Workforce Operations Technology', 'Strategic Wealth Opportunities Threats', 'Systems Workflow Output Timing']"
"When utilising SWOT to investigate the internal portion of your company, you will consider",financial physical and human resources,"['Changing technologies', 'Strength of Competition', 'Economic Conditions']"
Which of the following might be a company weaknesses?,Old facilities and equipment,"['Less market share', 'Cheaper suppliers', 'Tough government regulations']"
Which of the following is NOT an opportunity?,Possessing Market Dominance,"['Change in consumer demand', 'Change in government policy', 'Reduced trade barriers']"
"In Lululemon's Financial Report, what did it state about its weaknesses?",Lack of patents,"['Competitive versus established brands', 'Victorias Secret might expand into atheletic apparel', 'Heavy reliance on outsourced labour leading to vulnerable supply chains']"
Which of the following will a costumer NOT consider when buying from a company?,Company's choice of interior design,"['Why does a business exist?', 'How does a business operate?', 'Who is a business associated with?']"
There is a universal ethical standard across the world,False,['True']
What effect does social media have on company ethics?,Costumers can hold businesses accountable,"['Allows a company to operate without scrutiny', 'Improves employee communication', 'There is no effect on businesses']"
What is ethical decision making?,Considering reprecussions that are not immediately obvious,"['Maximazing shareholder returns', 'Ensuring that all decisions follow the law', 'Making decisions based on personal preferences']"
What values are shared across all cultures?,Respect integrity reliability and fairness,"['Following the law', 'Liberty Freedom and the Pursuit of Happiness', 'Helping family and country']"
What might be unethical about Facebook's business model?,Selling client data,"['Connecting users across the world', 'Focus on providing free services', 'Developing user-friendly interfaces']"
What is the difference between laws and ethics,Laws are rules set by the government while ethics are guiding moral principals,"['Ethics are rules set by the government while laws are guiding moral principals', 'The two are the same concept', 'Ethics only apply in business contexts, while legality applies in all areas of life.']"
Everything that is legal is ethical,False,['True']
Which of the following is NOT a benefit of ethical business practicies?,Increased legal risks and regulatory scrutiny,"['Employees are less likely to leave due to disagreements with company practices', 'Customers are less likely to be deterred by company practices', 'Boycots are less likely']"
How Johnson-Johnson structure its mission statement to emphasize its values?,Customers are placed first to emphasize their care for their customers,"['Stakeholders are placed to show their dedication to maximazing stakeholder returns', 'Employees are placed first to demonstrate how the company desires to create a welcoming workplace', 'Communities are placed to represent how they are a non-profit company']"
How can Senior Managers establish company ethics,Lead by example and set a tone from the top,"['Train employees to follow guidelines created by Senior Management', 'Create a new department to monitor the behavior of employees', 'Implementing strict penalties for employees who do not meet sales targets.']"
What should companies NOT do to establish ethical practices?,Ignoring unethical behavior by employees to avoid conflict.,"['Establish an integrity-based code of conduct ', 'Train employees in ethical decision-making', 'Create an ethical hotline to answer questions and support decision-making']"
This type of code of conduct punishes employees for not following established rules,Compliance-based,"['Value-based', 'Integrity-based', 'Performance-based']"
What is a Whistleblower?,Alerts public about unethical behavior,"['Oversees compliance with company policies', 'Hired to improve performance', 'Files compliants about company products']"
What is an ethical dilemma?,A problem without a clear solution,"['A problem where the laws do not apply', 'A situation where the consequences of an action are predictable and straightforward.', 'A thought experiment']"
Professional accountants are unethical,False,['True']
"When releasing a new drug, which of the following is an ethical concern?",The drug's affordability for those that need it,"['The drug’s potential to enhance athletic performance.', ""The drug's packaging"", 'Profits made by releasing the drug']"
Which of the following is NOT apart of an ethical framework?,What does Descartes say about the situation,"['Does it violate any laws or policies?', 'Is the decision fair for all parties?', 'How do you feel about the decision?']"
Critics of CSR say that money dedicated to CSR takes away from investor profits,True,['False']
What is corporate social responsibility?,Businesses dedicating resources to support communities,"['Companies must disclose financial information', 'Employees must volunteer in their communities', 'Companies maximizing shareholder profits']"
Ethical behavior increases revenue,True,['False']
What does ESG stand for?,Environment Social Governance,"['Economic Strategy and Governance', 'Ethics, Sustainability, and Growth', 'Employment, Safety, and Guidelines']"
How can businesses incorporate CSR into their business model?,Ensure suppliers follow company standards,"['Focusing solely on compliance with legal requirements.', 'Limiting measurements to internal audits only.', 'Ignoring stakeholder feedback and concerns.']"
Which of the following is ane example of a company incorporating CSR into their business model?,Tentree planting ten trees per item purchased,"['Walmart setting low wages to reduce capital consumption', 'Amazon preventing employees from organizing unions', 'Fast Retailing focusing on low-cost clothing and fast fashion']"
What is sustainability?,Operating to meet current and future needs without negative effects,"['Protecting the environment', 'Ensuring the company remains profitable', 'Producing products at the lowest cost']"
What is the linear economic model?,Take Make Dispose,"['Emphasizes local production', 'Continuous recycling of products', 'Constant innovation']"
What is a Circular Economy?,Waste is reused,"['Maximizing production efficiency ', 'Resources used is disposed of', 'Return to pre-industrial economy']"
How can employees contribute to a more sustainable company?,Turn off electronics when not in use,"['Purchasing single-use products for convenience.', 'Ignore recycling practices', 'Shame employees for recycling']"
What should businesses NOT do to be more sustainable?,Source materials from oil companies,"['Plan company spending in annual budget', 'Recognize employees who act sustainably', 'Report on ESG impacts']"
Companies have a responsibility to provide meaningful jobs for,Employees,"['Customers', 'Investors', 'Governments']"
Investors care about the social responsibility efforts of companies,True,['False']
What are 'Green Loans'?,Banks loan more money to firms that are more sustainable,"['Money is loaned in green banknotes', 'Loans intended solely for consumer goods and personal expenses without any environmental criteria.', 'Loans that are exclusively available to large corporations with no impact on small businesses or individual homeowners.']"
What is a firm's responsibility to banks?,Paying off loans,"['Support the community who are also the banks clients', 'Collecting payments from customers for banks', 'Do not communicate with banks unless there is a problem']"
What is the ideal relationship between governments and companies?,Cooperation to combat social and environmental issues,"['Companies should resist government influence', 'Governments should only help companies that are in financial trouble', 'Companies should follow government regulations']"
A social audit reports on,Company progress towards reaching social goals,"['Revenue profits and liabilities', 'Development of new products and market expansion', 'Advertising and marketing initiatives']"
What is an issue with Social Audits?,Lack of consistent and quantitive metrics,"['Focuses on financial performance', 'Has no positive gain for firms', 'They are legally required']"
Financial Audits are legally required,True,['False']
What were RBC's concerns in the Beyond Digital Panel?,"how to organize, lead, & control in remote environments","['Increased demand for skills', 'how to collaborate with governments academia and businesses to build remote skills', 'fear of remote work impacting business culture']"
Digitization is key to which process? ,converting data to knowledge to value,"['Manual record-keeping', 'Increasing the use of physical documents in business', 'Reducing the role of technology in manufacturing']"
What is a concern of remote work?,decline in office relations and culture,"['Enhanced flexibility in work hours', 'Lower costs for office space and utilities', 'Increased productivity and work-life balance']"
What was Microsoft's suggestion from Beyond Digital Panel?,working with businesses governments and academia to build remote skills,"['Reducing the use of technology in communication', 'Eliminating all face-to-face meetings', 'Limiting flexible work hours for all employees']"
The planning process considers,situation goals plans,"['company competitors', 'opinions of external stakeholders', 'short term goals and immediate needs']"
Goals involve,Envisioning the future of the organization and its desires,"['Random actions to be completed', 'setting general aspirations', 'Focuses on individuals']"
Plans outline ,How to reach goals Available resources Ideas,"['Personal preferences of employees', 'End goals', 'General ideas without specific actions or timeframes']"
What is a company vision?,An attractive future that the company seeks to create,"['Current company goals', 'List of daily operations', 'Plan to increase company quarterly profits']"
What is outlined in a company Mission Statement?,"contribution to society, goals, distinction from competitors and what is offered","['Detailed financial forecasts and quarterly profit targets', 'specific duties of each employee within the company', 'day-to-day operational tasks and short-term goals']"
How does Disney+ align with Disney's mission statement?,Explores innovative methods to provide quality entertainment,"['Focuses on theme park operations', 'Limiting services to US only', 'Generating profit through limited original content']"
What are values?,Beliefs that guide decisions,"['Strict rules enforced by a company', 'Temporary trends that change frequently', 'Monetary worth assigned to goods and services']"
Which of the following is not a value at Microsoft?,Profit-seeking,"['Making a difference', 'integrity', 'Customer Obssessed']"
How can leaders ensure values are followed?,communicate values visible reminders,"['punish misbehaving employees', 'only discuss values without any action', 'list values without any action']"
What does SMART goals stand for?,Specific Measurable Attainable Relevant Timed,"['Simple Manageable Accurate Realistic Tangible', 'Strategic Meaningful Adaptable Rewarding Timely', 'Significant Motivational Action-Oriented Reliable Trustworthy']"
Which of the following is a SMART goal?,Increase sales by 15% in the next quarter by reaching out to ten new clients per week,"['Hope to travel to more places', 'Read more books this year', 'To be healthier']"
What are contingency plans?,Courses of actions when the plan fails,"['Plans to improve day to day operations', 'Long-term strategies for growth', 'Plans that must be followed to the letter']"
What is an example of a contingency plan?,having data back-ups in case of a natural disaster,"['timeline for a new project', 'budget plan for marketing', 'hiring new employees if business expands']"
What are the four aspects of management?,Plan Organize Lead Control,"['Budgeting Hiring Marketing Selling', 'Researching Innovating Manufacturing Distributing', 'Training Evaluating Reporting Competing']"
What is organizing?,allocating resources and tasks to meet goals,"['Setting goals and making plans to achieve them', 'leading and motivating employees to meet goals', 'evaluating performance to make adjustments']"
What is the purpose of organizational charts?,Outline chain of command and information flow,"['Illustrate financial performance', 'Detailed duties of employees', 'Outline company strategies']"
What is a weakness of organizational charts?,Does not outline processes to complete tasks,"['facilitate better communication and collaboration among teams', 'clarify roles and responsibilities within the organization', 'clear visual representation of the organizational structure']"
What is the role of senior management?,To drive company towards its vision,"['handle employee grievances and concerns', 'perform all tasks themselves', 'focus on day-to-day operational tasks']"
Why has middle management declined?,direct communication organized around customers,"['focus on hiring entry-level employees', 'need for more management in organizations', 'Increased reliance on hierarchical structures']"
As employees are promoted which skills become more important?,conceptual skills,"['digital skills', 'technical skills', 'human skills']"
Which of the following are Conceptual Skills?,critical thinking understanding business quick thinking,"['Proficiency in using software tools', 'interpersonal communication and team management', 'Expertise in specific tasks or functions']"
What are cross-functional teams?,versatile and fulfill multiple functions,"['operate independently from the rest of the organization', 'employees from the same department', 'formed for temporary purposes with no defined objectives']"
How can businesses promote information sharing,more open office spaces,"['encouraging competition between employees', 'limiting access to information based on departmental silos', 'discouraging feedback and open discussions']"
What is the importance of job promotions?,incentivize good behaviors and retain talent,"['punish underperformance', 'maintain the status quo and prevent change', 'increase competition between employees']"
What is the difference between management and leadership?,management gets people to do things leadership empowers people to lead,"['No difference', 'management is only concerned about profits leadership includes employee satisfaction', 'management makes all decisions leadership delegates']"
Leadership is about exercising power over others,False,['True']
Which of the following are leadership traits?,cognitive ability self-confidence honesty integrity and driven,"['stubborn poor intrapersonal skills lack of vision', 'technical expertise secrecy avoiding responsibilities', 'micromanagement resistant to change indifference to team']"
What are Maslow's Hierarchy of Needs in the proper order?,Physiological Safety Acceptance Esteem Self-Actualization,"['Safety Physiological Acceptance Esteem Self-Actualization', 'Safety Physiological Esteem Acceptance Self-Actualization', 'Physiological Safety Esteem Acceptance Self-Actualization']"
When does self-actualization occur?,When all other needs are met,"['When an individual is constantly seeking external validation', 'When an individual feels dissatisfaction with their life', 'When an individual prioritizes material wealth above all else']"
What is cognitive empathy?,ideas from your perspective,"['emotions from your perspective', 'managing personal emotions', 'being analytical and detached in relationships']"
What is emotional empaty,emotions from your perspective,"['ideas from your perspective', 'managing personal emotions', 'being analytical and detached in relationships']"
What form of motivation involves being goal-oriented?,Achievement,"['Affiliation', 'Power', 'Extrinsic ']"
What are the needs of an Achievement-motivated person?,feedback might want to work alone,"['team harmony hard to share opposite perspective', 'competition and dominate others', 'surronded by friends']"
What form of motivation comes from wanting team harmony?,affiliation,"['achievement', 'power', 'extrinsic']"
what form of motivation comes from wanting control,power,"['achievement', 'power', 'intrinsic']"
What are considerations for power motivation?,unwilling to share ideas ,"['afraid of opposing others', 'afraid of risk', 'need feedback']"
What are considerations for affiliation motivation?,afraid of opposing others afraid of risk,"['need feedback', 'need competition', 'financial rewards']"
Which form of leadership prioritises task completion to detriment of morale?,authoritarian,"['totalitarian', 'laissez faire', 'democratic']"
Which form of leadership uses consensus to make decisions?,democratic,"['totalitarian', 'laissez faire', 'authoritarian']"
Which form of leadership delegates all tasks and allows employees to work independently?,laissez faire,"['authoritarian', 'anarchy', 'democratic']"
What is the purpose of control in management?,to ensure company is on track to meet goals,"['Ensure rules are followed', 'limit opposing perspectives', 'focus solely on financial aspects']"
What are the five steps to control?,set standards track performance compare results and standards communicate results corrective action,"['Establishing rules assigning tasks monitoring progress providing feedback and rewarding employees', 'Planning organizing leading controlling evaluating', 'Defining roles developing policies recruiting staff managing resources ensuring compliance']"
What are the aspects of the balanced scorecard approach?,finance customer business process learning and growth,"['Marketing effectiveness sales strategies production efficiency employee satisfaction', 'Research and development supply chain management product quality customer feedback', 'Revenue growth market expansion risk management compliance']"
What are demands of an entrepreneur?,manage uncertainty take risks creativity and problem solving,"['Working a standard 9-to-5 schedule', 'Guaranteed financial success and stable work-life balance', 'Relying solely on external investors for funding']"
What is entrepreneurship?,getting a business idea and implementing that idea,"['Investing in existing businesses without being actively involved in operations', ""The ability to take over and manage someone else's business"", 'The process of managing a well-established company with minimal risk']"
What opportunities does the University of Waterloo provide for Entrepreneurs?,Velocity Problem Lab Co-op,"['Traditional classroom learning only', 'Government-run startup grants without mentorship', 'Limited support, focusing primarily on engineering students']"
What does Waterloo's Velocity program provide?,guidance for students to turn idea to product to commericalize,"[' Classroom-based learning focused on entrepreneurship theory', 'Funding for personal projects with no accountability', 'Part-time jobs for students with established businesses']"
What is the Problem Lab?,place for students to tackle billion dollar problems,"['traditional classroom where students solve theoretical problems', 'lab focused on creating new products for engineering students', 'program that provides funding without focusing on problem-solving']"
What are the benefits of part-time or co-op jobs?,find passions build technical skills expose to different organizational structures,"['Limited experience with no industry connections', 'Higher pay than full-time positions with no skill development', 'Opportunities to work without needing to manage time efficiently']"
What skills do entrepreneurs require?,passion tolerate uncertainty growth mindset confidence,"['avoid risk and focus solely on technical expertise', 'focus on routine tasks and avoiding innovation', 'skills in one specific area with no need for business knowledge']"
Why might you want to be an entrepreneur?,independence flexibility define own success,"['avoid responsibility and work fewer hours', 'follow a predictable career path without risk', 'ensure guaranteed financial stability']"
How might entrepreneurs define their own success?,satisfaction from running own business set own goals,"['by the amount of profit they make', 'having complete control over their employees', 'avoiding risks and staying in their comfort zone']"
Why has entrepreneurship grown?,education tech social acceptance support systems,"['lack of job opportunities in established industries', 'larger corporations have stopped hiring', 'starting a business guarantees success and financial security']"
How has education come to support entrepreneurship?,new courses workshops online resources incubators,"['focusing on theoretical knowledge without practical applications', 'discouraging students from taking risks and trying new ideas', 'eliminating all non-business-related courses from the curriculum']"
How has technology come to support entrepreneurship?,tech is cheaper social media online stores,"['more difficult for businesses to reach their customers', 'creating monopolies that limit competition', 'requiring entrepreneurs to invest heavily in physical infrastructure']"
How can companies build intrapreneurship?,run competitions for research and development that involve multiple departments,"['maintaining rigid hierarchical structures and discouraging innovation', 'limiting employee input on projects and focusing only on established products', 'ensuring that all employees have the same job responsibilities and tasks']"
Which of the following is an example of how companies build intrapreneurship?,Hasbro running toy competitions,"['Microsoft strict guidelines that limit employee innovation', 'Ford policy of keeping all employees in traditional roles without encouraging creativity', 'Coca-Cola focus solely on maintaining existing product lines without exploring new ideas']"
How can companies incorporate intrapreneurship into their daily operations?,innovation pipelines,"['enforcing strict policies that discourage independent thinking', 'limiting access to resources and tools for project development', 'requiring all projects to follow a rigid approval process without room for flexibility']"
The intrapreneur mindset ,reflects on existing business processes ,"['follows established procedures and avoids risk', 'prioritizes individual work over collaboration and teamwork', 'maintains the status quo']"
What are the three stages of a New Venture?,birth breakthrough maturity,"['Idea Generation Market Analysis Product Launch', 'Development Growth Maturity', 'Concept Development Buisness Planning Execution']"
What happens in the birth stage?,define model initial customers focus on survival,"['expansion how to maintain growth', 'maintain relevance and competitiveness exit strategy', 'fully operational and generating substantial profits']"
What happens in the breakthrough stage,expansion how to maintain growth,"['define model initial customers', 'maintain relevance and competitiveness exit strategy', 'fully operational generating profits']"
what happens in the maturity stage,maintain relevance and competitiveness exit strategy,"['expansion how to maintain growth', 'define model initial customers', 'fully operational generating profits']"
what sort of leaders are needed in the birth phase?,risktaker aggressive approach,"['caretaker keep things smooth as upscaling', 'surgeon evaluate and cut extraneous parts', 'authoritarian to control the company']"
What sort of leaders are needed in the expansion phase?,caretaker keep things smooth as upscaling,"['risktaker aggressive approach', 'surgeon evaluate and remove extraneous parts', 'authoritarian control employees']"
What sort of leaders are needed in the maturity phase?,surgeon evaluate and remove extraneous parts,"['caretaker keep things smooth as upscaling', 'risktaker aggressive approach', 'authoritarian control employees']"
When Buffer Box created pickup locations on campus that was its,Birth stage,"['Maturity stage', 'Exit Stage', 'Growth Stage']"
When occured during Buffer Box's growth stage?,pickup boxes were set up at Go stations,"['acquired by google', 'set up pickup locations on campus', 'created boxes where parcels could be picked up']"
"When Google acquired Buffer Box, that was which stage?",maturity,"['growth', 'birth', 'exit']"
How did the guitar company plan its growth?,consulted BDC streamlined processes direct investments,"['focusing solely on increasing production volume without considering market trends', 'reducing marketing efforts to cut costs', 'remaining only in the local market without exploring online sales']"
