question,correct,false
How did the guitar company plan its growth?,consulted BDC streamlined processes direct investments,"['focusing solely on increasing production volume without considering market trends', 'reducing marketing efforts to cut costs', 'remaining only in the local market without exploring online sales']"
What are challenges to launching?,finding customers time management law abiding,"['too much market demand and no competition', 'achieving immediate profitability without any investment', 'operating without a business plan or defined target audience']"
What are the advantages of buying a business?,use existing customers reputation and infrastructure,"['ability to start from scratch with no previous history or baggage', 'lack of market competition', 'guaranteed profits from day one without any investment']"
What are some considerations when buying a business?,why being sold business info price potential,"['seller preferences and their favorite color', 'age of the building where the business operates', sellers vacation plans and hobbies""]"""
What is Social Entrepreneurship?,organizations that combat social issues,"['for profit organizations', 'government organizations', 'political groups']"
What do incubators provide?,coaching managing networking community,"[' strict working environment', 'limit innovation and creativity', 'focus on financial profits']"
Which federal organization finances and advises small businesses?,Business Development Bank of Canada,"['Velocity', 'Internal Revenue Service (IRS)', 'Employment and Social Development Canada']"
"What does Innovation, Science & Economic Development Canada provide? ",info on starting business market research,"['tax services and revenue collection for businesses', 'immigration services for foreign workers', 'environmental protection and natural resource management']"
What is the primary funding source for ventures?,personal savings,"['bank loans', 'angel investors', 'venture capitalists']"
What percent of funding comes from angel investors & venture capitalists?,2%,"['12%', '22%', '32%']"
What percent of funding comes from bank loans?,37%,"['47%', '57%', '67%']"
Angel investors,invest in early stage business in return for partial ownership,"['invest in established businesses expecting growth', 'gather money from the general public', 'use their own money to develop their own businesses']"
Venture Capitalists,invest in established businesses expecting growth,"['invest in early stage business in return for partial ownership', 'gather money from the general public', 'use their own money to develop their own businesses']"
crowdsourcing involves,gathering money from the general public,"['investing in established businesses expecting growth', 'investing in early stage business in return for partial ownership', 'using personal money to develop their own businesses']"
What is a Value Proposition?,what company offers customers,"['detailed description of a companys financial projections', 'legal agreement between a company and its shareholders', 'marketing tactic focused on reducing prices']"
What three factors aid your creation of a value proposition?,jobs pains gains,"['Company profits employee satisfaction social media presence', 'Historical sales data government regulations market trends', 'Brand colors office location employee uniforms']"
Jobs are,tasks that customers must complete,"['various employment roles within a company', 'specific features and functions of a product', 'salaries and benefits offered to employees']"
pains are,obstacles preventing customers from achieving task,"['physical discomfort experienced by customers when using a product', 'costs associated with hiring employees', 'benefits customers receive from a product or service']"
gains are,customer desires,"['financial profits of a company', 'resources required to produce a product', 'number of employees needed to operate a business']"
how many gains/pains should a company focus on?,a few,"['as many as possible', 'none', 'at least ten']"
What is an example of a company removing pains?,Amazon Go forgoing checkouts,"['Netflix allowing customers to binge shows', 'Starbucks increasing drink prices without any changes', 'Apple changing phone colours']"
What is the purpose of a business model?,How to create deliver capture value,"['to solve problems and complete tasks', 'outline the internal policies and procedures of a company', 'provide a detailed financial plan for investors']"
What are the parts of a Business Model Canvas?,customer segements value proposition channels customer relations revenue stream key resources key activities key partnership cost structure,"['Mission Vision Goals Branding', 'supply chain employee benefits marketing strategy', 'legal structure financial projections market trends']"
What are customer segements?,target customer,"['various products a company sells to different markets', 'employees responsible for different areas of the business', 'regions of operation']"
What are channels?,How to reach customers,"['communication platforms used by employees', 'company departments', 'legal pathways for compliance']"
What are revenue streams?,how company generates money,"['total expenses a company incurs', 'financial strategies a company uses to save money', 'distribution methods']"
What are key resources?,infrastructure to deliver value proposition,"['investments in marketing', 'software for daily operations', 'legal documents for operating in different markets']"
What are key activities?,tasks to perform well,"['meetings by leadership team', 'marketing campaigns', 'legal requirements']"
What are key partnerships?,suppliers who you will work with,"['shareholders who invest in the company', 'employees who work on product development', 'customers who provide feedback for product improvement']"
What are cost structures?,how finances are managed,"['pricing strategies to sell products', 'reducing prices for goods', 'investment in research and development']"
What are business plans?,summary of model to share with investors,"['document outlining the legal structure of a company', 'list of employees and their roles within the company', ""summary of a company's customer reviews and feedback""]"
What are the aims of a business plan?,nature of business target market understand market and competition qualifications,"['provide legal advice for the company', 'monitor employee performance and set salary guidelines', 'compare the companys products with its competitors products']"
What are common mistakes of a business plan?,ignore competition niche market procrastinating delusion,"['too much detail on company history', 'writing in a casual tone', 'focusing on marketing and too little on operations']"
What is the issue of targeting a niche market?,difficult to expand market share,"['increased competition from larger companies', 'difficult in marketing to a broad audience', 'high production costs']"
What is the problem with procrastination?,market environment changes quickly,"['increased productivity and efficiency', 'improved focus and concentration', 'enhanced creativity and problem solving']"
What do banks look for when considering loans?,business plans credit scores personal investment assets,"['entrapreneurs age and personal interests', 'entrapreneurs social media and presence', 'entrapreneur hobbies and extracirricular activities']"
What is the importance of record keeping?,inform decisions,"['more creative marketing strategies', 'focus on employee productivity', 'eliminates need for financial analysis']"
What should a business keep records of?,accounting inventory customer employee,"['employee personal information', 'Social media posts and online advertisements', 'employee preferences for lunch']"
What financial records should be kept?,spend borrow if need more funding,"['sales receipts and invoices', 'employee schedules and attendance records', 'customer feedback']"
Inventory records should keep track of,stored materials usage time funds to upgrade,"['total value of all inventory items', 'employee preferences for handling inventory', 'customer feedback']"
