question,correct,false
How do credit cards operate?,no extra fees if loans paid off during interest free period,"['The cardholder pays interest only if the balance is not paid in full by the due date.', 'The card issuer charges a fixed percentage fee on all transactions regardless of repayment.', 'Interest is calculated daily on the outstanding balance even if paid during the grace period.', 'A flat fee is charged monthly irrespective of spending or repayment.', 'There are always additional fees regardless of payment schedule.']"
What is a Line of Credit?,money a firm may loan at any time where interest is charged only while it was taken out,"['A short-term loan with a fixed repayment schedule.', 'A revolving loan that allows a borrower to repeatedly borrow and repay funds up to a pre-approved limit.', 'A long-term loan secured by collateral.', 'An investment account that earns interest.']"
What is a Line of Credit used for?,reserve in case of lack of funds,"['Bridging short-term cash flow gaps.', 'Funding large capital expenditures.', 'Investing in long-term assets.', 'Paying off existing high-interest debt.', 'All of the above.']"
What is a Term Loan?,loan paid of in intervals,"['A short-term loan repaid in a single lump sum.', 'A loan paid off in intervals.', 'A line of credit used for ongoing expenses.', ""An investment in a company's stock.""]"
What are Bonds?,loans issued by a corporation in packets of $1000,"['Debt instruments representing a loan to a borrower.', 'Equity stakes in a company.', 'Derivatives based on the performance of an asset.', 'Certificates of ownership in a company.']"
Who rates the risk of firms?,Dominion Bond Rating Service,"[""Moody's Investors Service"", ""Standard & Poor's"", 'Fitch Ratings', 'All of the above']"
Government Bonds are,risk free,"['Inflation risk', 'Interest rate risk', 'Default risk', 'Reinvestment risk', 'None of the above']"
What is the result of a higher risk firm?,higher returns on bonds,"['Lower returns on bonds', 'No change in returns on bonds', 'Lower credit ratings']"
What does selling Equity entail?,selling ownership the company,"[""Selling a company's debt"", ""Selling a company's products or services"", 'Selling ownership in the company', ""Selling a company's intellectual property""]"
What is a Prospectus?,outlines business to intice investors,"[""A legal document outlining a company's financial history."", 'A marketing brochure advertising a new product.', 'A formal document used to attract investors to a business opportunity.', 'A contract between a company and its employees.']"
What is an Initial Public Offering?,first time a firm issues shares,"['The process of a company buying back its own shares.', 'A merger between two publicly traded companies.', 'A private placement of securities to a select group of investors.']"
What does Common Stock grant?,right to vote,"['A guaranteed dividend payment', 'Priority in bankruptcy proceedings', 'A fixed maturity date']"
What do Preferred Shares grant?,dividend priority,"['Voting rights', 'Liquidation priority', 'Control over the company']"
What are advantages of debt over equity,maintain control and profits,"['Lower cost of capital', 'Tax deductibility of interest payments', 'Maintains control', 'All of the above']"
What are advantages of equity over debt,debt is riskier assets are not pledged less financial burden,"['Reduced financial burden less risky assets are not pledged.', 'Higher returns greater control tax advantages.', 'Easier to obtain lower interest rates predictable payments.', 'Fixed repayment schedule simpler to manage less regulatory oversight.']"
